crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall
Minor Pulses,2.5699999,1.88,2.026,205,2017,12,Uttar Pradesh,42398,14381,3426,Bijnor,659.5799812299999,54.96499843583333
Minor Pulses,10.36,8.9799995,8.7679996,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad,673.970000998,56.164166749833335
Minor Pulses,11.74,10.24,11.735,207,2017,12,Uttar Pradesh,67862,27997,2552,Etawah,493.520001,41.12666675
Minor Pulses,22.629999,21.700001,8.3629999,208,2017,12,Uttar Pradesh,124649,45131,7720,Kanpur,,
Minor Pulses,15.83,12.3,6.9400001,209,2017,12,Uttar Pradesh,49651,20660,2863,Fatehpur,754.9199912,62.90999926666667
Minor Pulses,21.83,16.290001,9.9790001,210,2017,12,Uttar Pradesh,108387,39828,13191,Allahabad,,
Minor Pulses,378.20999,275.60999,91.342003,211,2017,12,Uttar Pradesh,66983,48399,2534,Jhansi,487.34999170000003,40.612499308333334
Minor Pulses,114.67,177.27,73.653,213,2017,12,Uttar Pradesh,34091,17988,1110,Jalaun,476.360000101,39.696666675083335
Minor Pulses,170.03999,90.440002,39.480999,214,2017,12,Uttar Pradesh,33248,20580,1666,Hamirpur,471.6200102,39.30166751666667
Minor Pulses,61.700001,38.619999,4.7880001,215,2017,12,Uttar Pradesh,31565,19178,2047,Banda,745.58001419,62.13166784916667
Minor Pulses,19.370001,17.200001,3.5550001,216,2017,12,Uttar Pradesh,87883,26904,4706,Varanasi,738.02000302,61.501666918333335
Minor Pulses,12.09,13.15,5.9619999,218,2017,12,Uttar Pradesh,48177,17780,2322,Jaunpur,810.0600000000001,67.50500000000001
Minor Pulses,16.780001,19.02,3.7739999,219,2017,12,Uttar Pradesh,47591,18207,2463,Ghazipur,741.9799981000001,61.83166650833334
Minor Pulses,22.389999,29.27,1.206,220,2017,12,Uttar Pradesh,35302,15283,2455,Ballia,801.2300095,66.76916745833334
Minor Pulses,14.49,14.15,3.9430001,221,2017,12,Uttar Pradesh,111370,33124,9619,Gorakhpur,1064.770000199,88.73083334991667
Minor Pulses,6.8099999,6.8800001,3.589,222,2017,12,Uttar Pradesh,62812,23174,5327,Deoria,939.2900078,78.27416731666666
Minor Pulses,19.530001,22.27,11.643,223,2017,12,Uttar Pradesh,88716,31875,7716,Basti,958.9299910999999,79.91083259166666
Minor Pulses,7.8800001,8.29,6.6350002,224,2017,12,Uttar Pradesh,79550,30817,4398,Azamgarh,991.310012,82.60916766666666
Minor Pulses,9.9099998,9.6000004,1.2359999,225,2017,12,Uttar Pradesh,21074,9715,622,Lucknow,775.960003788,64.663333649
Minor Pulses,34.439999,23.059999,3.75,226,2017,12,Uttar Pradesh,41140,16272,1593,Unnao,655.21001189,54.60083432416667
Minor Pulses,24.73,13.86,7.3410001,227,2017,12,Uttar Pradesh,75823,30469,3511,Rae-Bareily,,
Minor Pulses,31.48,22.82,3.464,228,2017,12,Uttar Pradesh,88206,32282,7455,Sitapur,905.2599951,75.438332925
Minor Pulses,33.48,24.4,5.0869999,229,2017,12,Uttar Pradesh,94914,35036,2807,Hardoi,710.40999401,59.20083283416667
