state,district,total_rainfall,average_rainfall
Rajasthan,Churu,373.3200021,31.110000175
Rajasthan,Dausa,394.4500028,32.87083356666667
Rajasthan,Dholpur,335.83000082,27.985833401666667
Rajasthan,Dungarpur,73.7200017,6.1433334749999995
Rajasthan,Ganganagar,464.3500098,38.69583415
Rajasthan,Hanumangarh,450.6299993,37.55249994166667
Rajasthan,Jaipur,365.46999501,30.4558329175
Rajasthan,Jaisalmer,245.40000083,20.450000069166666
Rajasthan,Jalore,1358.5100019000001,113.20916682500001
Rajasthan,Jhalawar,726.37000012,60.530833343333335
Rajasthan,Jhunjhunu,344.30999860000003,28.692499883333337
Rajasthan,Jodhpur,272.87999803,22.739999835833334
Rajasthan,Karauli,368.0399997,30.669999975
Rajasthan,Kota,577.93998931,48.161665775833335
Rajasthan,Nagaur,366.3700035,30.530833625
Rajasthan,Pali,605.68000823,50.473334019166664
Rajasthan,Pratapgarh,107.86000082,8.988333401666667
